cable-knit sweater with a pleated wool mini skirt, opaque tights, and loafers
wool cardigan over a silk blouse and plaid mini, sheer black tights, and pumps
winter-white knit dress with a fitted blazer, opaque tights, and heeled ankle boots
soft sweater with a tartan wrap skirt, tights, and loafers
cashmere mock-neck with a box-pleated wool skirt, knee socks, and loafers
schoolgirl blazer over a fine-knit sweater dress, tights, and loafers
structured coat with a plaid pinafore look, wool tights, and lace-up boots
cable-knit cardigan with a mini skirt, knee-high socks, and chunky loafers
cream fisherman sweater with a checked skirt, thick tights, and riding boots
tailored wool jacket over a collared cashmere top and skirt, tights, and pumps
fitted long-sleeve polo knit with a pleated skirt, knee socks, and loafers
forest-green cardigan with a tartan mini skirt, opaque tights, and ankle boots
ivory turtleneck with a belted tweed skirt, tights, and heeled loafers
double-breasted blazer with a ribbed sweater and plaid mini, tights, and riding boots
winter prep dress with pearl buttons, wool tights, and Mary Janes
wool vest layered over a crisp shirt and A-line skirt, tights, and loafers
navy cardigan with a white collar and pleated skirt, knee socks, and ballet flats
soft knit mini dress with a camel trench, opaque tights, and heeled boots
chunky cream turtleneck with a short tweed skirt, tights, and knee-high boots
prep-school-inspired sweater set with a plaid skirt, knee socks, and loafers
fine-knit sweater with a corduroy mini, thick tights, and suede ankle boots
tailored wool blazer with a fair-isle knit and skirt, tights, and brogues
camel wrap coat over a fitted schoolgirl-style outfit, wool tights, and riding boots
cashmere V-neck over an oxford shirt with a pleated mini, knee socks, and loafers
structured cardigan jacket with a wool skirt, tights, and heeled loafers
dark plaid skirt with a tucked cream turtleneck, opaque tights, and tall boots
cream blouse with a bow and a tweed mini suit, sheer tights, and pumps
winter preppy coatdress with gold buttons, dark tights, and loafers
ivory knit top with a navy A-line skirt, tights, and ballet flats
wool mini dress under a structured blazer, black tights, and ankle boots
argyle knit with a tartan pleated skirt, knee socks, and loafers
soft cardigan over a satin-collar blouse and mini skirt, tights, and Mary Janes
duffle coat with a cable-knit dress, wool tights, and tall leather boots
tailored cape coat over a fitted plaid set, opaque tights, and heeled boots
button-front tweed dress with opaque tights and pumps
cream mock-neck sweater with a brown plaid skirt, tights, and loafers
prep-luxe cardigan with a pleated wool mini, knee socks, and loafers
fitted knit blazer with a collared mini dress, tights, and ankle boots
wool school skirt with a tucked fine-knit sweater, knee socks, and brogues
longline coat over a pleated skirt and sweater vest, tights, and loafers
cashmere roll-neck with a belted corduroy skirt, wool tights, and riding boots
winter picnic preppy dress with a cardigan, tights, and Mary Janes
structured ivory blazer with a plaid skirt, sheer tights, and pumps
soft navy knit dress with a school-style coat, opaque tights, and knee-high boots
tweed mini suit with a turtleneck shell, tights, and heeled loafers
cream cardigan and tartan skirt set with knee socks and loafers
fine wool pullover with a checked mini, tights, and ankle boots
buttoned coat over a school-uniform-inspired sweater set, wool tights, and loafers
